Feature1,Feature2,Feature3,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature13,Feature16,Feature17,Feature18,Feature19,Feature4_B,Feature4_C,Feature4_D,Feature12_Y,Feature12_Z,Feature14_Category2,Feature14_Category3,Feature15_Option2,Feature15_Option3,Feature15_Option4,Feature20_dog,Feature20_some other,Feature1_Feature2_Interaction
44,0.797416964,-0.958090825,0,158,1.490147819,5.166124369,2.27794226,4.936186213,5,1,8.824344612,11.71113036,1,Low,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,35.08634641
47,0.026838179,-0.244178309,0,507.6797004,2.151534786,0.450312173,-3.395355858,4.936186213,3,0,10.03872728,13.35583208,1,Low,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.261394401
64,0.199990002,-1.014798744,0,474,1.410613113,6.786555096,-3.070746033,4.936186213,7,0,10.03872728,13.44948363,1,Medium,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,12.79936015
67,0.474124493,0.44804015,0,166,0.63509089,1.937158189,-0.246269151,6.004974703,20,0,10.03872728,7.687652302,1,Low,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31.76634104
47,0.598516451,0.087839246,0,507.6797004,0.392104319,4.010937335,3.215086471,2.891198996,3,0,11.25937104,6.807769674,1,Low,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28.1302732
47,0.879753184,-0.147499173,0,-40.59127236,0.763004354,3.846180478,-4.028923893,4.936186213,2,0,11.85706999,12.31178068,1,Medium,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,41.34839965
47,0.638337707,1.456409933,0,839,0.505438525,0.694113928,-1.104511731,3.973684644,4,1,8.481114372,12.32773301,1,High,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30.00187225
47,0.522327117,0.126672834,1,840,3.156345295,5.719081698,-1.149391016,8.114886847,3,0,11.94610893,12.99570903,1,Low,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,24.5493745
36,0.907293216,0.093092249,0,507.6797004,3.361390118,9.777295113,1.531995548,4.936186213,17,0,12.54317385,10.40708687,1,High,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,32.66255576
47,0.999426433,-1.552722233,0,821,1.07856747,2.461383343,0.5530252,3.036719795,5,0,10.03872728,12.65352426,0,High,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,46.97304236
47,0.730193756,-0.48298765,0,53,0.977198026,9.674928826,-1.705325943,4.936186213,2,0,10.03872728,13.73377432,1,Low,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,34.31910654
47,0.087168996,-0.293627756,0,587,2.428587516,3.271965251,0.972952524,4.936186213,3,0,10.03872728,12.45764916,1,Medium,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4.096942811
88,0.329888139,0.245179862,0,507.6797004,0.814214613,8.156510561,-1.31772795,4.936186213,1,0,10.03872728,6.29440069,1,Medium,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,29.03015626
47,0.521694175,1.164969128,0,80,0.66526766,3.191797307,0.37009566,4.936186213,5,1,10.03872728,12.29123914,1,Low,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,24.5196262
47,0.262258433,-0.627740099,0,94,2.050567957,0.386168483,-0.802786872,4.936186213,1,0,8.879222893,7.90928618,1,High,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12.32614636
47,0.873724751,0.655803912,0,507.6797004,1.932806033,5.80369261,1.763187569,9.244568261,2,1,8.017091446,12.1871411,1,High,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,41.06506331
47,0.19647403,0.983773202,0,734,0.483883113,3.609294366,1.196248814,6.093364493,2,0,12.71993191,8.054799065,0,Medium,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9.234279427
47,0.204466737,-0.988009555,0,507.6797004,3.601679417,2.179749053,-0.631827225,3.983000821,5,0,9.249617242,11.70017261,0,High,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9.609936617
47,1.119410887,0.899467493,0,156.5053274,0.367480694,1.984580758,-1.886894596,4.936186213,4,1,10.03872728,8.002058433,1,High,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,52.6123117
47,0.669343123,-0.994681584,1,507.6797004,1.019961904,3.000529481,-1.828873725,4.936186213,7,0,10.03872728,7.082889571,1,Medium,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.45912676
47,0.616694253,-0.426544654,0,943,1.906145345,3.412275077,-1.816699605,4.936186213,1,0,10.03872728,12.22521053,0,Low,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,28.98462988
47,0.397840594,0.248413244,0,375.4949834,0.881802362,6.783168733,-0.558242644,6.057294636,1,1,9.121465705,9.98398529,0,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18.69850789
25,0.215388447,-0.162185745,0,29,0.900572282,8.635383115,-2.226560468,4.936186213,2,1,13.99265539,12.27230695,0,Low,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5.384711164
77,0.586365946,0.109822491,0,718,0.103641353,6.515693348,5.639152531,3.05458893,1,1,10.03872728,14.51827816,1,High,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.15017782
47,0.689365311,0.046061276,1,818,0.384104067,2.44153824,-0.145814989,2.945466046,5,0,10.03872728,12.86951473,1,Low,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.4001696
9,0.256325193,-0.614444313,0,507.6797004,0.540249764,5.041065652,-1.208060601,5.30771727,8,0,10.03872728,5.001480355,1,Medium,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.306926735
20,0.840272106,1.571863692,1,507.6797004,0.464375639,3.486595828,2.554681274,5.072087198,1,0,13.56017493,8.764131458,1,High,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16.80544212
47,0.554416846,-0.114195823,0,730,0.366160491,2.172099558,1.33768525,4.936186213,2,0,10.03872728,11.62261482,1,High,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.05759176
69,0.502379723,-0.354703879,0,507.6797004,0.021422962,3.17898733,-4.093091205,4.936186213,3,0,10.03872728,10.69297147,1,Medium,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,34.66420087
47,0.861470851,1.225560655,0,248,0.390580993,14.54266918,-1.378145133,4.936186213,2,1,6.125444306,5.923153379,1,High,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,40.48913
47,0.187342057,-0.846430225,0,507.6797004,1.956019898,1.064081929,2.688590229,4.936186213,3,1,10.03872728,11.78210653,1,Medium,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,8.805076694
