Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
44,0.797416964,-0.958090825,,,158,1.490147819,5.166124369,2.27794226,,5,X,1,Category1,Option4,8.824344612,11.71113036,Yes,Low,
47,0.026838179,-0.244178309,D,,,2.151534786,0.450312173,-3.395355858,,3,X,0,Category1,Option2,,13.35583208,Yes,Low,cat
64,0.199990002,-1.014798744,B,0,474,1.410613113,6.786555096,-3.070746033,,7,Z,0,Category1,Option2,,13.44948363,Yes,Medium,dog
67,0.474124493,0.44804015,B,,166,0.63509089,1.937158189,-0.246269151,6.004974703,20,X,0,Category1,Option2,,7.687652302,Yes,Low,cat
,0.598516451,0.087839246,,0,,0.392104319,4.010937335,3.215086471,2.891198996,3,Z,0,Category1,Option3,11.25937104,6.807769674,Yes,Low,cat
,0.879753184,-0.147499173,D,,-40.59127236,0.763004354,3.846180478,-4.028923893,,2,Y,0,Category1,Option3,11.85706999,12.31178068,Yes,Medium,
,0.638337707,1.456409933,,0,839,0.505438525,0.694113928,-1.104511731,3.973684644,4,Z,1,Category1,Option3,8.481114372,12.32773301,Yes,High,cat
,0.522327117,0.126672834,,1,840,3.156345295,5.719081698,-1.149391016,8.114886847,3,X,0,Category1,Option1,11.94610893,12.99570903,Yes,Low,dog
36,0.907293216,0.093092249,,0,,3.361390118,9.777295113,1.531995548,,17,X,0,Category3,Option3,12.54317385,10.40708687,Yes,High,
,0.999426433,-1.552722233,B,0,821,1.07856747,2.461383343,0.5530252,3.036719795,5,Y,0,Category1,Option4,,12.65352426,No,High,cat
,0.730193756,-0.48298765,,0,53,0.977198026,9.674928826,-1.705325943,,2,X,0,Category1,Option3,,13.73377432,Yes,Low,cat
,0.087168996,-0.293627756,A,0,587,2.428587516,3.271965251,0.972952524,,3,Y,0,Category1,Option3,,12.45764916,Yes,Medium,some other
88,0.329888139,0.245179862,,,,0.814214613,8.156510561,-1.31772795,,1,Z,0,Category1,Option3,,6.29440069,Yes,Medium,
,0.521694175,1.164969128,,,80,0.66526766,3.191797307,0.37009566,,5,Y,1,Category2,Option2,,12.29123914,Yes,Low,some other
,0.262258433,-0.627740099,,,94,2.050567957,0.386168483,-0.802786872,,1,X,0,Category2,Option2,8.879222893,7.90928618,Yes,High,cat
,0.873724751,0.655803912,B,,,1.932806033,5.80369261,1.763187569,9.244568261,2,Z,1,Category1,Option3,8.017091446,12.1871411,Yes,,dog
,0.19647403,0.983773202,,,734,0.483883113,3.609294366,1.196248814,6.093364493,2,X,0,Category1,Option4,12.71993191,8.054799065,No,Medium,cat
,0.204466737,-0.988009555,A,,,3.601679417,2.179749053,-0.631827225,3.983000821,5,Z,0,Category1,Option4,9.249617242,11.70017261,No,High,
,1.119410887,0.899467493,A,0,156.5053274,0.367480694,1.984580758,-1.886894596,,4,X,1,Category1,Option4,,8.002058433,Yes,High,dog
,0.669343123,-0.994681584,C,1,,1.019961904,3.000529481,-1.828873725,,7,Y,0,Category1,Option1,,7.082889571,Yes,Medium,
,0.616694253,-0.426544654,B,0,943,1.906145345,3.412275077,-1.816699605,,1,Z,0,Category1,Option2,,12.22521053,No,Low,some other
,0.397840594,0.248413244,,,375.4949834,0.881802362,6.783168733,-0.558242644,6.057294636,1,Y,1,Category2,Option1,9.121465705,9.98398529,No,High,
25,0.215388447,-0.162185745,D,0,29,0.900572282,8.635383115,-2.226560468,,2,Y,1,Category1,Option1,13.99265539,12.27230695,No,Low,dog
77,0.586365946,0.109822491,D,,718,0.103641353,6.515693348,5.639152531,3.05458893,1,Y,1,Category1,Option1,,14.51827816,Yes,High,cat
,0.689365311,0.046061276,A,1,818,0.384104067,2.44153824,-0.145814989,2.945466046,5,Y,0,Category1,Option1,,12.86951473,Yes,Low,cat
9,0.256325193,-0.614444313,D,0,,0.540249764,5.041065652,-1.208060601,5.30771727,8,X,0,Category2,Option2,,5.001480355,Yes,Medium,cat
20,0.840272106,1.571863692,,1,,0.464375639,3.486595828,2.554681274,5.072087198,1,X,0,Category1,Option4,13.56017493,8.764131458,Yes,High,
